Approval Form No,SUPPLIER NAME,MATERIAL / SERVICE TO BE PROVIDED,Approval Details,,,,,,,,Surveillance Requirements,,,Address,,,,,
,,,Scope of Approval (Materials or Services Puchased),Approval Status (Conditional or Unconditional),Date of Approval,Classification,Approval Method,Certification Expiry Date,Needs of valid certificate,Approval Form Number,Audits,ISO Certification,Incoming Inspections,Street address,ZIP Code,City,Country,Telephone No.,Fax No.
1,Metrigraphics LLC,Flexible micro-circuits,Flexible micro-circuits,Unconditional,29-May-2013,Class 2,"Supplier contract
Audit Report
Certification
Supply history",7-août-15,NO,1,yes,yes,yes,50 Concord St,MA 01887,Wilmington,USA,1 (0) 978-658-6100 ,1 (0) 978-657-7765
2,Wesley Coe (Cambridge) Ltd,Final Implant Assembly and packaging and laser ablation,Final Implant Assembly and packaging and laser ablation,Unconditional,29-May-2013,Class 1,"Supplier contract
Audit Report
Certification
Supply history",8-nov.-17,NO,2,yes,yes,yes,Gas Lane,CB7 4GH,Ely,United Kingdom,44 (0) 1353 66 79 14,44 (0) 1353 66 14 71
3,AIRBUS Defence and Space (Cassidian),Electronic assembly,Electronic assembly,Unconditional,21-mars-14,Class 2,"Supplier contract
Audit Report
Certification
Supply history",18-nov.-15,NO,3,yes,yes,yes,"Wörthstraße 85, COEEM1",D-89077 ,Ulm,Germany,49 (0) 731 392 5565,49 (0) 731 3922 0461 7
4,Via Electronics,Low temperature co-fired ceramic components,Low temperature co-fired ceramic components,Unconditional,25-June-2013,Class 3,"Supplier contract
Audit Report
Certification
Supply history",16-févr.-17,NO,4,yes,yes,yes,Robert-Friese-Strasse 3,D-07629 ,Hermsdorf,Germany,49 (0) 36601 9298 0,49 (0) 36601 9298 110
5,Sterigenics Germany GmbH,Sterilisation and Sterilisation Validation services,Sterilisation and Sterilisation Validation services,Unconditional,21-mars-14,Class 1,"Supplier contract
Audit Report
Certification
Supply history",26-mars-15,NO,5,yes,yes,yes,"Kasteler Strasse 45
Gebäude G525 ",D-65203 ,Wiesbaden,Germany,49 (0) 611 962 7869,49 (0) 611 962 9422
6,Imetron,Coils,Coils,Unconditional,29-May-2013,Class 3,"Supplier contract
Certification
Supply history",23-sept.-15,NO,6,no,yes,yes,Stöckmatten 13,D-79224 ,Umkirch,Germany,49 (0) 7665 50 255  0,49 (0) 7665 50 2 55 25
7,Mecora Medizintechnik GmbH,Plastic housings,Plastic housings,Unconditional,29-May-2013,Class 3,"Supplier contract
Certification
Supply history",7-mars-16,NO,7,no,yes,yes,Rottstraße 35,D-52068 ,Aachen,Germany,49 (0) 241 400 28 40,49 (0) 241 400 28 41
8,Helmut Christmann,Re-spreader metallic parts,Re-spreader metallic parts,Unconditional,04-June-2013,Class 2,"Supplier contract
Certification
Supply history",26-sept.-15,NO,8,no,yes,yes,Carl-Benz-Str. 9,75217,Birkenfeld,Germany,07231/9448820,07231/9488229
